Year,NOC,Continent,PIB,Medals,PIB/MEDALS
1968,ECU,South America,2582180794.1855,0,0.0
1968,EGY,Africa,5932242990.65421,0,0.0
1968,ESP,Europe,31475548481.4095,0,0.0
1968,FIN,Europe,8823033880.32993,12,735252823.3608274
1968,FJI,Oceania,166952937.135005,0,0.0
1968,FRA,Europe,129785441507.456,36,3605151152.9848886
1968,GBR,Europe,107759910067.889,19,5671574214.0994215
1968,GHA,Africa,1666910166.289,0,0.0
1968,GRC,Europe,10090675902.5364,1,10090675902.5364
1968,GTM,North America,1610500000.0,0,0.0
1968,GUY,South America,229750000.0,0,0.0
1968,HKG,Asia,2716964388.42418,0,0.0
1968,HND,North America,646800000.0,0,0.0
1968,IDN,Asia,7076465295.27356,0,0.0
1968,IND,Asia,53085455870.6667,16,3317840991.916669
1968,IRL,Europe,3278584478.33023,0,0.0
1968,IRN,Asia,8623172959.89803,5,1724634591.979606
1968,IRQ,Asia,2896947633.71605,0,0.0
1968,ISL,Europe,474399471.622359,0,0.0
1968,ISR,Asia,4619000000.0,0,0.0
1968,ITA,Europe,87942231678.3505,41,2144932479.959768
1968,JAM,North America,1083883355.33421,1,1083883355.33421
1968,JPN,Asia,146601072685.511,63,2327001153.73827
1968,KEN,Africa,1353295457.5261,12,112774621.46050833
1968,KOR,Asia,6119284294.23459,2,3059642147.117295
1968,KWT,Asia,2663119574.34892,0,0.0
1968,LKA,Asia,1801344537.81513,0,0.0
1968,LUX,Europe,1066447130.82052,0,0.0
1968,MAR,Africa,3271415867.99723,0,0.0
1968,MDG,Africa,1031669636.37161,0,0.0
1968,MEX,North America,29360000000.0,9,3262222222.2222223
1968,MLI,Africa,343771973.331357,0,0.0
1968,MMR,Asia,531186357.405981,0,0.0
1968,MYS,Asia,3330393309.81315,0,0.0
1968,NER,Africa,641214210.668969,0,0.0
1968,NGA,Africa,5200895982.08036,0,0.0
1968,NIC,North America,695899980.428571,0,0.0
1968,NLD,Europe,27817605743.2503,23,1209461119.271752
1968,NOR,Europe,10159934136.7838,28,362854790.59942144
1968,NZL,Oceania,5180597620.64135,7,740085374.3773357
1968,PAK,Asia,8041999160.0168,13,618615320.0012923
1968,PAN,North America,1112791100.0,0,0.0
1968,PER,South America,5736083835.14212,0,0.0
1968,PHL,Asia,8632749269.48718,0,0.0
1968,PRI,North America,3941700000.0,0,0.0
1968,PRT,Europe,6354262628.33537,0,0.0
1968,PRY,South America,517650793.650794,0,0.0
1968,SDN,Africa,1947333333.33333,0,0.0
1968,SEN,Africa,1309384830.18783,0,0.0
1968,SGP,Asia,1425715405.72325,0,0.0
1968,SLE,Africa,329860091.944037,0,0.0
1968,SLV,North America,1009760100.0,0,0.0
1968,SUR,South America,241350000.0,0,0.0
1968,SWE,Europe,31066819929.2853,25,1242672797.171412
1968,SYR,Asia,1562303429.31937,0,0.0
1968,TCD,Africa,453980096.648819,0,0.0
1968,THA,Asia,6081009427.88461,0,0.0
1968,TTO,North America,758899950.0,0,0.0
1968,TUN,Africa,1214666666.66667,2,607333333.333335
1968,TUR,Asia,17500000000.0,2,8750000000.0
1968,UGA,Africa,1037815126.05042,2,518907563.02521
1968,URY,South America,1593675330.16467,0,0.0
1968,USA,North America,942500000000.0,173,5447976878.612717
1968,VEN,South America,10034444444.4444,1,10034444444.4444
1968,ZMB,Africa,1605857142.85714,0,0.0
1972,AFG,Asia,1595555475.55556,0,0.0
1972,ARG,South America,34733000536.2862,1,34733000536.2862
1972,AUS,Oceania,52051401869.1589,20,2602570093.457945
1972,AUT,Europe,22059612476.9332,8,2757451559.61665
1972,BEL,Europe,37209418018.5134,2,18604709009.2567
1972,BEN,Africa,410331900.950531,0,0.0
1972,BFA,Africa,578595583.975723,0,0.0
1972,BHS,North America,590900000.0,0,0.0
1972,BLZ,North America,66062500.0,0,0.0
1972,BMU,North America,235400000.0,0,0.0
1972,BOL,South America,1257615644.97932,0,0.0
1972,BRA,South America,58434858374.8696,2,29217429187.4348
1972,CAN,North America,113082820486.918,12,9423568373.909834
1972,CHL,South America,11853817307.6923,0,0.0
1972,CIV,Africa,1849400599.77558,0,0.0
1972,CMR,Africa,1498252050.17228,0,0.0
1972,COG,Africa,410669262.897929,0,0.0
1972,COL,South America,8671358732.68486,3,2890452910.8949533
1972,CRI,North America,1238251695.55388,0,0.0
1972,CUB,North America,8135150891.92025,22,369779585.996375
1972,DNK,Europe,23232379951.9376,1,23232379951.9376
1972,DOM,North America,1987400000.0,0,0.0
1972,DZA,Africa,6766766610.86932,0,0.0
1972,ECU,South America,3185987234.84089,0,0.0
1972,EGY,Africa,9299638055.84281,0,0.0
1972,ESP,Europe,59132415221.3306,2,29566207610.6653
1972,FIN,Europe,14743186119.8738,20,737159305.99369
1972,FJI,Oceania,316650508.967523,0,0.0
1972,FRA,Europe,203494148244.473,25,8139765929.778919
1972,GAB,Africa,430508357.728441,0,0.0
1972,GBR,Europe,169965034965.035,29,5860863274.65638
1972,GHA,Africa,2112292944.64142,1,2112292944.64142
1972,GRC,Europe,16885511363.6364,2,8442755681.8182
1972,GTM,North America,2101300000.0,0,0.0
1972,GUY,South America,285380952.380952,0,0.0
1972,HKG,Asia,5710107420.14394,0,0.0
1972,HTI,North America,372000000.0,0,0.0
1972,IDN,Asia,10997590361.4458,0,0.0
1972,IND,Asia,71463193831.0092,14,5104513845.072085
1972,IRL,Europe,6318060582.21873,0,0.0
1972,IRN,Asia,17153463263.1086,3,5717821087.702867
1972,ISL,Europe,839652164.06073,0,0.0
1972,ITA,Europe,145260039840.637,34,4272354112.9599113
1972,JAM,North America,1875048859.93485,1,1875048859.93485
1972,JPN,Asia,318031297492.352,59,5390360974.446644
1972,KEN,Africa,2107279157.38336,12,175606596.44861332
1972,KHM,Asia,505549441.375077,0,0.0
1972,KOR,Asia,10862327878.032,1,10862327878.032
1972,KWT,Asia,4451200972.9401,0,0.0
1972,LIE,Europe,124941925.010473,0,0.0
1972,LKA,Asia,2553936348.40871,0,0.0
1972,LSO,Africa,80915831.9240276,0,0.0
1972,LUX,Europe,1901697369.62698,0,0.0
1972,MAR,Africa,5074117544.77482,0,0.0
1972,MCO,Europe,402460333.247989,0,0.0
1972,MDG,Africa,1341590681.57712,0,0.0
1972,MEX,North America,45200000000.0,1,45200000000.0
1972,MLI,Africa,486617279.362262,0,0.0
1972,MLT,Europe,295118249.324933,0,0.0
1972,MMR,Asia,634525053.103964,0,0.0
1972,MWI,Africa,406062874.251497,0,0.0
1972,MYS,Asia,5043268548.73032,0,0.0
1972,NER,Africa,742779740.393512,1,742779740.393512
1972,NGA,Africa,12274416017.7976,1,12274416017.7976
1972,NIC,North America,880842890.071429,0,0.0
1972,NLD,Europe,54706557264.4878,15,3647103817.63252
1972,NOR,Europe,17358610849.701,25,694344433.98804
1972,NPL,Asia,1024098804.93827,0,0.0
1972,NZL,Oceania,9567331064.65727,14,683380790.3326622
1972,PAK,Asia,9415016359.56604,15,627667757.3044027
1972,PAN,North America,1673411700.0,0,0.0
1972,PER,South America,9189413409.04393,0,0.0
1972,PHL,Asia,9067872578.95368,0,0.0
1972,PRI,North America,6328900000.0,0,0.0
