Year,NOC,Gold,Silver,Bronze
1980,ETH,2,0,2
1980,FIN,4,6,11
1980,FRA,18,5,7
1980,FRG,0,2,6
1980,GBR,6,18,24
1980,GDR,131,99,73
1980,GIN,0,0,0
1980,GRC,1,0,4
1980,GTM,0,0,0
1980,GUY,0,0,1
1980,HUN,8,15,40
1980,IND,16,0,0
1980,IRL,0,2,1
1980,IRQ,0,0,0
1980,ISL,0,0,0
1980,ITA,8,24,8
1980,JAM,0,0,3
1980,JOR,0,0,0
1980,JPN,0,1,0
1980,KOR,0,0,0
1980,KWT,0,0,0
1980,LAO,0,0,0
1980,LBN,0,0,1
1980,LBY,0,0,0
1980,LIE,2,2,0
1980,LKA,0,0,0
1980,LSO,0,0,0
1980,LUX,0,0,0
1980,MDG,0,0,0
1980,MEX,0,1,9
1980,MLI,0,0,0
1980,MLT,0,0,0
1980,MMR,0,0,0
1980,MNG,0,2,2
1980,MOZ,0,0,0
1980,NGA,0,0,0
1980,NIC,0,0,0
1980,NLD,1,3,6
1980,NOR,1,5,9
1980,NPL,0,0,0
1980,NZL,0,0,0
1980,PER,0,0,0
1980,POL,3,25,22
1980,PRI,0,0,0
1980,PRK,0,3,2
1980,PRT,0,0,0
1980,ROU,7,15,46
1980,SEN,0,0,0
1980,SLE,0,0,0
1980,SMR,0,0,0
1980,SWE,6,8,29
1980,SYC,0,0,0
1980,SYR,0,0,0
1980,TCH,17,18,17
1980,TTO,0,0,0
1980,TZA,0,2,0
1980,UGA,0,1,0
1980,URS,205,158,133
1980,USA,24,4,2
1980,VEN,0,1,0
1980,VNM,0,0,0
1980,YUG,13,27,17
1980,ZMB,0,0,0
1980,ZWE,15,0,0
1984,AHO,0,0,0
1984,AND,0,0,0
1984,ARE,0,0,0
1984,ARG,0,0,0
1984,ATG,0,0,0
1984,AUS,7,14,31
1984,AUT,1,1,2
1984,BEL,1,2,2
1984,BEN,0,0,0
1984,BGD,0,0,0
1984,BGR,0,0,0
1984,BHS,0,0,0
1984,BLZ,0,0,0
1984,BMU,0,0,0
1984,BOL,0,0,0
1984,BRA,1,33,2
1984,BRB,0,0,0
1984,BRN,0,0,0
1984,BTN,0,0,0
1984,BWA,0,0,0
1984,CAF,0,0,0
1984,CAN,21,37,33
1984,CHE,2,11,8
1984,CHL,0,0,0
1984,CHN,24,13,37
1984,CIV,0,1,0
1984,CMR,0,0,1
1984,COD,0,0,0
1984,COG,0,0,0
1984,COL,0,1,0
1984,CRI,0,0,0
1984,CYM,0,0,0
1984,CYP,0,0,0
1984,DJI,0,0,0
1984,DNK,0,3,10
1984,DOM,0,0,1
1984,DZA,0,0,2
1984,ECU,0,0,0
1984,EGY,0,1,0
1984,ESP,2,14,3
1984,FIN,8,5,18
1984,FJI,0,0,0
1984,FRA,20,17,33
1984,FRG,33,76,57
1984,GAB,0,0,0
1984,GBR,11,20,42
1984,GDR,13,13,7
1984,GHA,0,0,0
1984,GIN,0,0,0
1984,GMB,0,0,0
1984,GNQ,0,0,0
1984,GRC,0,1,1
1984,GRD,0,0,0
1984,GTM,0,0,0
1984,GUY,0,0,0
1984,HKG,0,0,0
1984,HND,0,0,0
1984,HTI,0,0,0
1984,HUN,0,0,0
1984,IDN,0,0,0
1984,IND,0,0,0
1984,IRL,0,1,0
1984,IRQ,0,0,0
1984,ISL,0,0,1
1984,ISR,0,0,0
1984,ITA,31,6,28
1984,JAM,0,5,2
1984,JOR,0,0,0
1984,JPN,10,9,31
1984,KEN,1,0,2
1984,KOR,6,28,7
1984,KWT,0,0,0
1984,LBN,0,0,0
1984,LBR,0,0,0
1984,LIE,0,0,2
1984,LKA,0,0,0
1984,LSO,0,0,0
1984,LUX,0,0,0
1984,MAR,2,0,0
1984,MCO,0,0,0
1984,MDG,0,0,0
1984,MEX,2,3,1
1984,MLI,0,0,0
1984,MLT,0,0,0
1984,MMR,0,0,0
1984,MNG,0,0,0
1984,MOZ,0,0,0
1984,MRT,0,0,0
1984,MUS,0,0,0
1984,MWI,0,0,0
1984,MYS,0,0,0
1984,NER,0,0,0
1984,NGA,0,1,4
1984,NIC,0,0,0
1984,NLD,20,7,14
1984,NOR,6,6,7
1984,NPL,0,0,0
1984,NZL,16,1,6
1984,OMN,0,0,0
1984,PAK,16,0,0
1984,PAN,0,0,0
1984,PER,0,1,0
1984,PHL,0,0,0
1984,PNG,0,0,0
1984,POL,0,0,0
1984,PRI,0,1,1
1984,PRK,0,0,0
1984,PRT,1,0,2
1984,PRY,0,0,0
1984,QAT,0,0,0
1984,ROU,40,31,35
1984,RWA,0,0,0
1984,SAU,0,0,0
1984,SDN,0,0,0
1984,SEN,0,0,0
1984,SGP,0,0,0
1984,SLB,0,0,0
