Year,NOC,Women,Men
1960,AFG,0,16
1960,AHO,0,5
1960,ARE,0,123
1960,ARG,4,126
1960,AUS,62,256
1960,AUT,69,171
1960,BEL,20,130
1960,BGR,43,155
1960,BHS,0,14
1960,BMU,0,9
1960,BRA,1,85
1960,CAN,56,159
1960,CHE,16,245
1960,CHL,1,20
1960,COL,0,23
1960,CUB,11,10
1960,DEU,137,398
1960,DNK,13,99
1960,ESP,44,206
1960,ETH,0,15
1960,FIN,55,238
1960,FJI,0,3
1960,FRA,90,328
1960,GBR,109,319
1960,GHA,0,15
1960,GRC,0,59
1960,GUY,1,5
1960,HKG,0,4
1960,HTI,0,1
1960,HUN,72,244
1960,IDN,2,25
1960,IND,0,49
1960,IRL,3,60
1960,IRN,0,24
1960,IRQ,0,28
1960,ISL,1,20
1960,ISR,19,27
1960,ITA,93,367
1960,JPN,73,278
1960,KEN,0,30
1960,KOR,13,56
1960,LBN,0,27
1960,LBR,0,6
1960,LIE,0,17
1960,LKA,0,5
1960,LUX,13,104
1960,MAL,0,11
1960,MAR,0,111
1960,MCO,0,13
1960,MEX,13,97
1960,MLT,0,13
1960,MMR,0,10
1960,NGA,0,15
1960,NLD,71,102
1960,NOR,12,93
1960,NZL,12,47
1960,PAK,0,53
1960,PAN,6,2
1960,PER,0,33
1960,PHL,5,44
1960,POL,84,251
1960,PRI,1,28
1960,PRT,17,92
1960,RHO,1,11
1960,ROU,49,107
1960,SDN,0,13
1960,SGP,0,5
1960,SMR,0,13
1960,SWE,70,260
1960,TCH,50,174
1960,THA,0,24
1960,TPE,4,27
1960,TUN,0,56
1960,TUR,4,60
1960,UGA,0,16
1960,URS,129,376
1960,URY,0,42
1960,USA,131,402
1960,VEN,9,45
1960,VNM,0,5
1960,WIF,0,20
1960,YUG,22,163
1960,ZAF,9,67
1960,ZWE,10,0
1964,AFG,0,8
1964,AHO,0,4
1964,ARG,13,157
1964,AUS,97,309
1964,AUT,43,155
1964,BEL,8,77
1964,BGR,25,110
1964,BHS,0,12
1964,BMU,0,4
1964,BOL,0,1
1964,BRA,1,64
1964,CAN,70,219
1964,CHE,20,213
1964,CHL,0,27
1964,CIV,0,10
1964,CMR,0,2
1964,COG,0,2
1964,COL,0,40
1964,CRI,0,2
1964,CUB,3,73
1964,DEU,156,466
1964,DNK,10,66
1964,DOM,0,1
1964,DZA,0,7
1964,EGY,0,83
1964,ESP,5,74
1964,ETH,0,19
1964,FIN,32,206
1964,FRA,57,207
1964,GBR,88,278
1964,GHA,4,36
1964,GRC,0,26
1964,GUY,0,1
1964,HKG,1,49
1964,HUN,93,268
1964,IND,1,111
1964,IRL,2,33
1964,IRN,10,98
1964,IRQ,0,19
1964,ISL,1,14
1964,ISR,3,10
1964,ITA,33,316
1964,JAM,9,23
1964,JPN,117,424
1964,KEN,0,41
1964,KHM,0,15
1964,KOR,48,208
1964,LBN,0,20
1964,LBR,0,2
1964,LIE,0,15
1964,LKA,0,7
1964,LUX,2,25
1964,MAR,0,21
1964,MCO,0,1
1964,MDG,0,4
1964,MEX,6,122
1964,MLI,0,2
1964,MMR,0,12
1964,MNG,19,43
1964,MYS,6,75
1964,NER,0,1
1964,NGA,2,17
1964,NLD,35,135
1964,NOR,17,116
1964,NPL,0,6
1964,NZL,23,65
1964,PAK,0,47
1964,PAN,9,6
1964,PER,1,39
1964,PHL,14,56
1964,POL,89,237
1964,PRI,8,37
1964,PRK,11,9
1964,PRT,5,20
1964,ROU,64,199
1964,SEN,0,14
1964,SWE,77,201
1964,TCD,0,2
1964,TCH,58,198
1964,THA,10,57
1964,TPE,10,86
1964,TTO,0,18
1964,TUN,0,12
1964,TUR,0,37
1964,TZA,0,4
1964,UGA,3,16
1964,URS,147,423
1964,URY,0,29
1964,USA,167,452
1964,VEN,2,21
1964,VNM,0,23
1964,YUG,10,167
1964,ZMB,1,14
1964,ZWE,6,27
1968,AFG,0,5
1968,AHO,2,3
1968,ARG,15,129
1968,AUS,61,170
1968,AUT,30,141
1968,BEL,16,90
1968,BGR,49,156
1968,BHS,0,22
1968,BLZ,0,7
1968,BMU,0,6
1968,BOL,0,4
1968,BRA,4,85
1968,BRB,0,13
1968,CAF,0,1
1968,CAN,109,293
1968,CHE,21,196
1968,CHL,4,32
1968,CIV,0,11
1968,CMR,0,5
1968,COD,0,8
1968,COL,14,56
1968,CRI,3,24
1968,CUB,50,177
1968,DNK,12,87
1968,DOM,0,24
1968,DZA,0,9
1968,ECU,2,39
1968,EGY,0,35
1968,ESP,3,162
1968,ETH,0,26
1968,FIN,35,186
1968,FJI,0,1
1968,FRA,108,321
1968,FRG,135,434
1968,GBR,111,281
1968,GDR,104,327
1968,GHA,2,34
1968,GIN,0,15
1968,GRC,0,52
1968,GTM,4,63
1968,GUY,0,6
1968,HKG,0,25
1968,HND,0,6
1968,HUN,86,238
1968,IDN,0,6
1968,IND,0,30
1968,IRL,11,46
1968,IRN,0,26
1968,IRQ,0,4
1968,ISL,6,18
1968,ISR,7,32
1968,ITA,49,298
1968,JAM,11,24
1968,JPN,84,300
1968,KEN,3,47
1968,KOR,19,61
1968,KWT,0,2
1968,LBN,0,21
1968,LBY,0,1
1968,LIE,3,17
1968,LKA,0,3
1968,LUX,3,4
1968,MAR,0,33
1968,MCO,0,2
1968,MDG,0,6
1968,MEX,103,343
1968,MLI,0,2
1968,MLT,0,1
1968,MMR,0,4
1968,MNG,16,32
1968,MYS,0,35
1968,NER,0,2
1968,NGA,9,37
1968,NIC,0,16
1968,NLD,55,111
1968,NOR,65,128
1968,NZL,18,62
1968,PAK,0,15
1968,PAN,0,16
1968,PER,16,17
1968,PHL,10,79
1968,POL,92,256
1968,PRI,18,81
1968,PRT,5,28
1968,PRY,0,1
1968,ROU,22,119
1968,SDN,0,7
1968,SEN,0,24
1968,SGP,0,6
1968,SLE,0,4
1968,SLV,26,78
1968,SMR,0,4
1968,SUR,0,1
1968,SWE,59,239
1968,SYR,0,2
1968,TCD,0,4
1968,TCH,69,205
1968,THA,0,46
1968,TPE,31,62
1968,TTO,0,25
1968,TUN,0,8
1968,TUR,0,50
1968,TZA,0,5
1968,UGA,0,14
1968,URS,162,430
1968,URY,28,22
1968,USA,184,480
1968,VEN,0,30
1968,VIR,0,6
1968,VNM,2,7
1968,YUG,27,149
1968,ZMB,0,7
1972,AFG,0,8
1972,AHO,0,2
1972,ALB,1,4
1972,ARG,10,119
1972,AUS,73,205
1972,AUT,38,173
1972,BEL,8,101
1972,BEN,0,3
1972,BFA,0,1
1972,BGR,59,179
1972,BHS,1,24
1972,BLZ,0,2
1972,BMU,0,9
1972,BOL,0,14
1972,BRA,7,97
1972,BRB,8,12
1972,CAN,142,287
1972,CHE,89,255
1972,CHL,2,11
1972,CIV,0,13
1972,CMR,0,18
1972,COG,0,8
1972,COL,12,63
1972,CRI,0,4
1972,CUB,35,166
1972,DNK,18,137
1972,DOM,0,5
1972,DZA,0,7
1972,ECU,0,4
1972,EGY,0,26
1972,ESP,12,157
1972,ETH,0,40
1972,FIN,36,180
1972,FJI,0,4
1972,FRA,87,338
1972,FRG,182,527
1972,GAB,0,1
1972,GBR,160,344
1972,GDR,151,372
1972,GHA,4,37
1972,GRC,6,66
1972,GTM,0,11
1972,GUY,0,4
1972,HKG,0,18
1972,HTI,1,6
1972,HUN,98,270
1972,IDN,4,3
1972,IND,1,42
1972,IRL,20,64
1972,IRN,0,68
1972,ISL,1,29
1972,ISR,4,13
1972,ITA,74,340
1972,JAM,19,32
1972,JPN,118,309
1972,KEN,3,66
1972,KHM,2,15
1972,KOR,19,35
1972,KWT,0,4
1972,LBN,2,36
1972,LBR,0,5
1972,LIE,3,19
1972,LKA,0,6
1972,LSO,0,2
1972,LUX,1,14
1972,MAR,3,36
1972,MCO,0,5
1972,MDG,0,13
1972,MEX,71,210
1972,MLI,0,3
1972,MLT,0,5
1972,MMR,0,19
1972,MNG,2,50
1972,MWI,4,14
1972,MYS,5,52
1972,NER,0,4
1972,NGA,11,25
1972,NIC,2,8
1972,NLD,98,127
1972,NOR,75,200
1972,NPL,0,2
1972,NZL,17,101
1972,PAK,0,26
1972,PAN,0,8
1972,PER,4,27
1972,PHL,9,74
1972,POL,93,391
1972,PRI,0,60
1972,PRK,24,69
1972,PRT,0,41
1972,PRY,0,3
1972,ROU,64,217
1972,SAU,0,14
1972,SDN,0,31
1972,SEN,0,40
1972,SGP,3,9
1972,SLV,0,18
1972,SMR,0,7
1972,SOM,0,4
1972,SUR,0,3
1972,SWE,75,212
1972,SWZ,0,4
1972,SYR,1,4
1972,TCD,0,5
1972,TCH,82,253
1972,TGO,0,7
1972,THA,0,37
1972,TPE,15,38
1972,TTO,1,35
1972,TUN,0,37
1972,TUR,1,49
1972,TZA,0,22
1972,UGA,2,33
1972,URS,173,476
1972,URY,7,13
1972,USA,198,527
1972,VEN,8,25
1972,VIR,0,16
1972,VNM,0,2
1972,YUG,45,198
1972,ZMB,4,8
1976,AHO,0,4
1976,AND,0,14
1976,ARG,18,104
1976,ATG,0,17
1976,AUS,78,215
1976,AUT,30,159
1976,BEL,56,104
1976,BGR,88,208
1976,BHS,2,17
1976,BLZ,0,4
1976,BMU,1,19
1976,BOL,0,5
1976,BRA,10,79
1976,BRB,3,14
1976,CAN,242,398
1976,CHE,17,170
1976,CHL,0,20
1976,CIV,2,9
1976,CMR,0,4
1976,COL,6,38
1976,CRI,5,5
1976,CUB,30,164
1976,CYM,0,2
1976,DNK,13,68
1976,DOM,2,9
1976,ECU,0,8
1976,EGY,0,26
1976,ESP,26,145
1976,FIN,32,155
1976,FJI,2,3
1976,FRA,66,295
1976,FRG,142,415
1976,GBR,128,295
1976,GDR,216,288
1976,GRC,2,48
1976,GTM,2,26
1976,HKG,4,46
1976,HND,0,3
1976,HTI,3,11
1976,HUN,93,198
1976,IDN,3,8
1976,IND,0,26
1976,IRL,5,54
1976,IRN,7,109
1976,ISL,12,26
1976,ISR,2,32
1976,ITA,85,321
1976,JAM,19,17
1976,JPN,119,296
1976,KOR,17,43
1976,KWT,0,21
1976,LBN,1,4
1976,LIE,11,18
1976,LUX,0,9
1976,MAR,0,9
1976,MCO,0,10
1976,MEX,15,122
1976,MNG,2,31
1976,MYS,0,25
1976,NIC,0,25
1976,NLD,99,99
1976,NOR,26,134
1976,NPL,0,1
1976,NZL,23,88
1976,PAK,0,24
1976,PAN,3,10
1976,PER,14,0
1976,PHL,3,19
1976,PNG,0,9
1976,POL,60,319
1976,PRI,20,92
1976,PRK,2,38
1976,PRT,0,36
1976,PRY,0,6
1976,ROU,93,205
1976,SAU,0,19
1976,SEN,3,30
1976,SGP,1,3
1976,SMR,2,11
1976,SUR,0,4
1976,SWE,51,190
1976,TCH,91,250
1976,THA,7,55
1976,TPE,0,11
1976,TTO,0,20
1976,TUN,2,14
1976,TUR,1,46
1976,URS,224,471
1976,URY,3,12
1976,USA,228,477
1976,VEN,22,34
1976,VIR,4,22
1976,YUG,7,129
1980,AFG,0,11
1980,AGO,2,15
1980,AND,0,11
1980,ARG,0,26
1980,AUS,66,143
1980,AUT,36,122
1980,BEL,30,60
1980,BEN,1,16
1980,BGR,136,277
1980,BOL,0,8
1980,BRA,19,130
1980,BWA,0,8
1980,CAN,34,52
1980,CHE,27,132
1980,CHN,16,22
1980,CMR,4,25
1980,COG,14,11
1980,COL,0,28
1980,CRI,4,36
1980,CUB,36,252
1980,CYP,4,17
1980,DNK,4,56
1980,DOM,1,6
1980,DZA,0,63
1980,ECU,1,15
1980,ESP,28,198
1980,ETH,2,46
1980,FIN,24,186
1980,FRA,42,202
1980,FRG,31,87
1980,GBR,129,275
1980,GDR,219,363
1980,GIN,0,10
1980,GRC,5,46
1980,GTM,0,10
1980,GUY,2,8
1980,HUN,123,271
1980,IND,17,61
1980,IRL,5,52
1980,IRQ,0,44
1980,ISL,2,22
1980,ITA,73,204
1980,JAM,14,18
1980,JOR,0,6
1980,JPN,9,71
1980,KOR,9,15
1980,KWT,0,67
1980,LAO,2,17
1980,LBN,3,23
1980,LBY,5,33
1980,LIE,8,9
1980,LKA,0,4
1980,LSO,0,7
1980,LUX,0,4
1980,MDG,6,12
1980,MEX,24,50
1980,MLI,1,6
1980,MLT,1,11
1980,MMR,0,2
1980,MNG,12,55
1980,MOZ,3,13
1980,NGA,10,46
1980,NIC,3,3
1980,NLD,41,118
1980,NOR,20,80
1980,NPL,0,10
1980,NZL,4,14
1980,PER,20,18
1980,POL,127,330
1980,PRI,0,3
1980,PRK,38,83
1980,PRT,5,13
1980,ROU,121,260
1980,SEN,4,35
1980,SLE,7,25
1980,SMR,0,16
1980,SWE,75,235
1980,SYC,4,17
1980,SYR,3,68
1980,TCH,97,294
1980,TTO,0,15
1980,TZA,8,40
1980,UGA,0,16
1980,URS,253,536
1980,USA,45,110
1980,VEN,0,43
1980,VNM,10,28
1980,YUG,35,172
1980,ZMB,0,43
1980,ZWE,22,30
1984,AHO,7,6
1984,AND,0,8
1984,ARE,0,11
1984,ARG,26,126
1984,ATG,8,19
1984,AUS,112,245
1984,AUT,54,181
1984,BEL,25,70
1984,BEN,0,3
1984,BGD,0,2
1984,BGR,1,32
1984,BHS,8,23
1984,BLZ,0,13
1984,BMU,1,12
1984,BOL,1,17
1984,BRA,30,167
1984,BRB,3,22
1984,BRN,0,14
1984,BTN,3,3
1984,BWA,0,8
1984,CAF,0,3
1984,CAN,256,407
1984,CHE,100,224
1984,CHL,4,72
1984,CHN,154,239
1984,CIV,1,17
1984,CMR,6,50
1984,COD,1,8
1984,COG,2,11
1984,COL,3,45
1984,CRI,1,38
1984,CYM,1,13
1984,CYP,2,20
1984,DJI,0,3
1984,DNK,13,61
1984,DOM,7,17
1984,DZA,0,33
1984,ECU,1,14
1984,EGY,11,140
1984,ESP,53,229
1984,FIN,33,154
1984,FJI,8,18
1984,FRA,89,322
1984,FRG,220,471
1984,GAB,2,2
1984,GBR,200,387
1984,GDR,33,72
1984,GHA,11,16
1984,GIN,0,1
1984,GMB,6,10
1984,GNQ,0,5
1984,GRC,6,80
1984,GRD,1,5
1984,GTM,14,39
1984,GUY,2,10
1984,HKG,27,60
1984,HND,5,21
1984,HTI,2,1
1984,HUN,3,13
1984,IDN,4,19
1984,IND,10,43
1984,IRL,20,35
1984,IRQ,0,25
1984,ISL,6,39
1984,ISR,19,46
1984,ITA,105,380
1984,JAM,24,51
1984,JOR,1,14
1984,JPN,117,323
1984,KEN,6,61
1984,KOR,79,199
1984,KWT,0,31
1984,LBN,1,37
1984,LBR,1,9
1984,LIE,9,18
1984,LKA,0,6
1984,LSO,0,5
1984,LUX,1,4
1984,MAR,1,41
1984,MCO,0,10
1984,MDG,0,5
1984,MEX,41,117
1984,MLI,0,5
1984,MLT,2,5
1984,MMR,0,1
1984,MNG,0,12
1984,MOZ,2,12
1984,MRT,0,2
1984,MUS,1,6
1984,MWI,0,23
1984,MYS,4,23
1984,NER,0,4
1984,NGA,3,33
1984,NIC,0,5
1984,NLD,97,117
1984,NOR,49,180
1984,NPL,0,10
1984,NZL,44,127
1984,OMN,0,22
1984,PAK,0,33
1984,PAN,1,9
1984,PER,19,25
1984,PHL,8,24
1984,PNG,5,7
1984,POL,14,28
1984,PRI,10,49
1984,PRK,8,9
1984,PRT,11,37
1984,PRY,0,18
1984,QAT,0,26
1984,ROU,102,126
1984,RWA,2,4
1984,SAU,0,42
1984,SDN,0,9
1984,SEN,1,30
1984,SGP,0,14
1984,SLB,0,3
1984,SLE,1,9
1984,SLV,2,13
1984,SMR,3,34
1984,SOM,0,9
1984,SUR,0,7
1984,SWE,91,261
1984,SWZ,0,11
1984,SYC,3,12
1984,SYR,0,9
1984,TCD,0,3
1984,TCH,28,51
1984,TGO,0,6
1984,THA,11,29
1984,TON,0,7
1984,TPE,15,57
1984,TTO,8,15
1984,TUN,4,24
1984,TUR,3,70
1984,TZA,3,18
1984,UGA,2,28
1984,URS,42,101
1984,URY,2,21
1984,USA,305,544
1984,VEN,1,43
1984,VGB,0,15
1984,VIR,6,46
1984,WSM,0,9
1984,YAR,0,3
1984,YUG,65,204
1984,ZMB,0,18
1984,ZWE,3,17
1988,ABW,7,5
1988,AFG,0,5
1988,AGO,11,22
1988,AHO,1,6
1988,AND,5,8
1988,ARE,0,36
1988,ARG,51,128
1988,ASM,0,6
1988,ATG,4,21
1988,AUS,107,268
1988,AUT,45,204
1988,BEL,36,50
1988,BEN,2,8
1988,BFA,2,7
1988,BGD,0,11
1988,BGR,124,209
1988,BHS,5,13
1988,BLZ,0,13
1988,BMU,1,13
1988,BOL,4,16
1988,BRA,52,181
1988,BRB,2,24
1988,BRN,0,16
1988,BTN,0,6
1988,BWA,0,11
1988,CAF,0,15
1988,CAN,243,450
1988,CHE,73,204
1988,CHL,1,38
1988,CHN,202,240
1988,CIV,17,12
1988,CMR,4,17
1988,COD,3,18
1988,COG,3,7
1988,COK,2,6
1988,COL,15,42
1988,CRI,20,18
1988,CYM,1,11
1988,CYP,5,14
1988,DJI,0,6
1988,DNK,40,91
1988,DOM,1,17
1988,DZA,3,42
1988,ECU,4,11
1988,EGY,1,58
1988,ESP,76,270
1988,FIN,46,147
1988,FJI,15,27
1988,FRA,149,379
1988,FRG,202,469
1988,GAB,1,1
1988,GBR,204,363
1988,GDR,208,292
1988,GHA,8,13
1988,GIN,0,7
1988,GMB,1,5
1988,GNQ,2,5
1988,GRC,22,65
1988,GRD,3,4
1988,GTM,11,41
1988,GUM,6,21
1988,GUY,1,7
1988,HKG,24,67
1988,HND,5,13
1988,HTI,1,4
1988,HUN,82,240
1988,IDN,10,33
1988,IND,11,47
1988,IRL,13,65
1988,IRN,0,26
1988,IRQ,0,28
1988,ISL,9,39
1988,ISR,8,21
1988,ITA,102,377
1988,JAM,19,36
